aX,aY,aZ,gX,gY,gZ
-0.557,-0.345,0.806,5.188,43.030,22.400
-0.543,-0.384,0.857,7.568,43.518,20.813
-0.521,-0.406,0.908,7.629,44.922,18.250
-0.501,-0.404,0.943,4.272,45.166,16.846
-0.470,-0.412,0.947,-0.793,44.983,17.029
-0.446,-0.401,0.933,-4.944,46.692,16.663
-0.448,-0.413,0.912,-9.155,49.683,17.700
-0.466,-0.407,0.895,-12.329,55.847,20.752
-0.505,-0.400,0.871,-12.329,65.430,23.865
-0.544,-0.376,0.861,-9.399,77.759,25.696
-0.564,-0.367,0.862,-5.127,90.149,25.024
-0.564,-0.349,0.865,-2.625,100.098,22.766
-0.539,-0.342,0.871,-1.099,104.431,19.409
-0.523,-0.362,0.880,-0.977,102.600,17.700
-0.528,-0.388,0.876,-1.221,97.351,16.724
-0.510,-0.375,0.875,-0.610,94.360,13.428
-0.462,-0.383,0.893,-0.427,94.360,9.460

0.074,1.096,1.133,22.644,5.310,-47.424
0.041,1.289,1.161,24.963,15.259,-44.556
0.031,1.519,1.167,23.437,31.067,-41.077
0.022,1.726,1.124,21.912,51.514,-36.072
-0.029,1.863,1.074,21.362,75.989,-30.762
-0.055,1.937,1.004,17.273,102.722,-28.137
-0.080,1.974,0.925,14.038,126.831,-26.978
-0.117,1.980,0.879,19.531,143.066,-26.306
-0.126,1.955,0.867,39.368,148.071,-30.884
-0.142,1.859,0.877,70.740,143.555,-45.837
-0.167,1.722,0.937,104.614,133.667,-69.275
-0.143,1.540,1.059,131.104,122.925,-92.834
-0.047,1.331,1.181,143.921,111.755,-110.596
0.018,1.117,1.249,135.742,101.990,-118.469
0.033,0.891,1.223,106.323,102.844,-114.319
0.005,0.628,1.113,64.575,123.474,-101.563
-0.086,0.271,1.004,18.799,169.922,-81.909
-0.074,-0.137,0.961,-22.461,233.154,-55.420
-0.176,-0.529,0.853,-57.556,298.767,-14.038
-0.241,-0.861,0.591,-93.140,361.450,28.931
-0.146,-1.155,0.243,-110.046,411.621,37.720
-0.137,-1.392,-0.207,-93.689,455.872,13.672
0.071,-1.810,-0.527,-28.503,492.004,-25.085
0.442,-2.217,-0.366,77.209,505.127,-67.932
0.680,-2.415,-0.146,176.697,475.464,-91.003
0.734,-2.476,0.075,227.966,401.184,-83.923
0.734,-2.534,0.300,215.759,312.256,-63.965
0.728,-2.670,0.713,148.437,228.333,-58.655
0.785,-2.441,0.860,41.870,146.240,-89.844
0.940,-1.986,0.652,-80.261,82.458,-146.301
1.256,-1.798,0.312,-182.495,51.758,-186.829
1.525,-1.821,-0.179,-243.164,38.635,-197.021
1.593,-1.650,-0.689,-262.634,49.316,-176.514
1.580,-1.316,-0.955,-239.014,96.191,-135.925
1.446,-1.116,-1.126,-170.593,167.358,-89.233
1.394,-0.956,-1.107,-94.482,240.356,-52.734
1.326,-0.785,-0.978,-37.354,280.640,-34.180
1.280,-0.585,-0.827,-5.615,276.672,-25.452
1.230,-0.487,-0.732,6.042,237.793,-16.846
1.128,-0.453,-0.666,4.456,180.847,-9.094
1.018,-0.446,-0.561,-0.977,126.526,-4.028
0.941,-0.474,-0.456,-2.563,80.505,0.977
0.889,-0.496,-0.339,-1.404,43.274,3.540
0.882,-0.492,-0.219,-1.099,14.954,3.174
0.889,-0.469,-0.108,-1.221,-5.249,5.249
0.898,-0.469,-0.042,-2.808,-17.517,11.597
0.865,-0.464,-0.013,-6.287,-21.484,21.667
0.799,-0.441,-0.022,-6.592,-15.686,30.640
0.742,-0.382,-0.027,-1.404,0.671,34.790
0.701,-0.358,-0.033,4.272,24.109,34.729
0.677,-0.318,-0.023,7.385,46.021,31.250
0.669,-0.279,-0.032,7.690,59.692,26.245
0.682,-0.262,-0.051,5.615,62.805,19.653
0.712,-0.243,-0.082,2.502,57.068,9.216
0.764,-0.247,-0.104,-0.122,46.509,-0.732
0.843,-0.251,-0.118,-2.197,32.349,-7.324
0.937,-0.271,-0.134,-3.906,17.212,-11.292
0.998,-0.283,-0.123,-5.676,3.540,-11.108
1.063,-0.297,-0.116,-6.714,-6.042,-7.507
1.101,-0.327,-0.103,-7.202,-12.024,-3.052
1.101,-0.328,-0.088,-7.080,-13.916,0.977
1.084,-0.298,-0.081,-5.066,-10.620,5.188
1.053,-0.267,-0.079,-1.892,-3.296,9.705
1.009,-0.253,-0.085,0.183,7.080,13.550
0.988,-0.240,-0.092,1.404,18.188,15.930
0.989,-0.229,-0.100,0.977,26.001,17.456
0.988,-0.226,-0.112,-1.221,27.588,19.226
1.000,-0.228,-0.138,-3.662,22.644,18.860
1.005,-0.242,-0.175,-6.592,13.916,16.296
1.014,-0.243,-0.223,-8.728,4.211,14.282
1.016,-0.216,-0.259,-7.996,-2.991,13.855
1.014,-0.191,-0.287,-3.601,-6.470,14.404
1.004,-0.188,-0.295,2.869,-4.395,15.869
0.984,-0.204,-0.263,10.376,2.808,17.334
0.978,-0.212,-0.215,18.066,11.230,17.029
0.984,-0.210,-0.174,22.766,15.381,15.198
0.998,-0.207,-0.143,22.278,13.428,14.587
1.011,-0.207,-0.141,18.372,7.690,15.503
1.021,-0.215,-0.154,14.099,0.244,16.785
1.018,-0.223,-0.165,11.047,-6.592,17.273
1.015,-0.222,-0.169,9.827,-12.634,15.869
1.018,-0.234,-0.163,9.155,-17.700,14.404
1.002,-0.234,-0.142,9.521,-23.193,13.062
1.001,-0.233,-0.138,10.315,-30.457,11.963
0.994,-0.225,-0.146,8.484,-36.743,11.353
0.992,-0.219,-0.160,6.409,-38.452,12.390
0.976,-0.215,-0.172,7.812,-35.217,13.489
0.967,-0.208,-0.181,11.719,-26.550,14.038
0.972,-0.209,-0.177,16.968,-13.733,14.099
0.976,-0.210,-0.157,22.278,-0.916,13.550
0.993,-0.216,-0.132,27.222,9.094,13.123
1.002,-0.208,-0.104,30.396,13.367,12.329
1.004,-0.212,-0.075,31.616,11.536,11.780
0.990,-0.218,-0.048,31.189,4.333,12.512
0.971,-0.212,-0.029,28.809,-5.554,12.573
0.966,-0.202,-0.035,23.499,-15.808,10.742
0.968,-0.196,-0.060,16.785,-24.536,8.606
0.957,-0.197,-0.081,12.024,-26.550,7.996
0.956,-0.192,-0.092,10.681,-21.240,8.789
0.972,-0.185,-0.098,10.620,-12.573,10.010
0.975,-0.187,-0.100,11.230,-5.310,11.108
0.976,-0.195,-0.103,12.878,-0.610,12.024
0.981,-0.201,-0.099,14.526,1.953,12.390
0.984,-0.207,-0.100,15.320,1.404,12.268
0.988,-0.210,-0.102,16.113,-1.465,12.512
0.988,-0.195,-0.100,16.968,-5.188,13.428
0.986,-0.181,-0.093,18.311,-8.484,14.099
0.977,-0.183,-0.073,18.738,-11.963,14.099
0.968,-0.171,-0.061,18.066,-15.747,13.489
0.958,-0.164,-0.057,16.907,-18.311,13.550
0.953,-0.160,-0.054,15.442,-18.250,13.794
0.944,-0.147,-0.055,13.977,-15.930,13.062
0.949,-0.139,-0.055,13.611,-12.024,11.230
0.979,-0.141,-0.054,12.939,-6.470,10.742
1.001,-0.148,-0.059,11.780,-1.831,12.268
1.011,-0.154,-0.070,10.498,0.183,13.733
1.018,-0.161,-0.087,9.094,0.488,13.733
1.023,-0.176,-0.103,8.301,-0.366,12.939
1.040,-0.181,-0.126,8.911,-1.892,12.085

1.028,1.174,0.170,1.892,-53.650,-25.757
0.986,1.479,0.073,-1.160,-44.312,-24.475
0.983,1.750,-0.031,-7.202,-24.048,-17.761
1.022,1.882,-0.104,-17.029,-1.343,-7.324
1.071,1.913,-0.159,-23.560,11.719,-1.282
1.111,1.956,-0.209,-18.433,8.118,-0.977
1.136,2.012,-0.175,0.977,-11.047,-2.563
1.130,2.148,-0.110,30.090,-47.913,-4.883
1.094,2.260,-0.064,56.091,-96.008,-7.385
1.014,2.360,-0.038,72.571,-141.479,-8.423
0.848,2.377,0.006,83.069,-174.805,-5.188
0.660,2.353,0.068,87.891,-191.162,-2.563
0.521,2.250,0.138,90.698,-194.519,-4.944
0.411,2.142,0.259,88.013,-190.674,-10.925
0.318,2.001,0.373,79.895,-191.040,-14.832
0.152,1.809,0.481,71.045,-202.515,-20.142
0.005,1.636,0.523,62.256,-225.098,-34.363
-0.163,1.439,0.523,53.955,-254.700,-56.763
-0.368,1.184,0.526,48.523,-290.466,-85.510
-0.521,0.886,0.528,44.556,-329.895,-119.019
-0.585,0.602,0.571,39.856,-364.380,-153.748
-0.687,0.272,0.610,34.119,-386.658,-182.434
-0.653,-0.123,0.612,28.198,-393.982,-202.881
-0.521,-0.524,0.466,23.376,-374.207,-210.083
-0.453,-1.038,0.362,32.043,-311.035,-199.036
-0.248,-1.620,0.719,53.284,-201.233,-162.842
-0.145,-1.988,1.197,72.937,-84.656,-100.098
-0.096,-2.147,1.315,69.214,-15.015,-38.513
-0.303,-2.494,1.158,48.218,-10.681,-6.897
-0.415,-2.746,0.864,22.705,-39.368,-24.353
-0.296,-2.766,0.643,3.052,-64.270,-78.247
-0.002,-2.745,0.570,10.010,-84.656,-131.165
0.083,-2.595,0.634,38.940,-98.877,-164.917
0.430,-2.543,0.747,62.866,-102.722,-164.917
0.441,-2.263,0.805,70.679,-102.539,-153.809
0.365,-1.910,0.813,66.162,-97.717,-147.217
0.402,-1.687,0.776,53.467,-82.458,-143.738
0.586,-1.548,0.811,39.551,-58.899,-141.174
0.703,-1.453,0.933,33.936,-47.424,-130.310
0.594,-1.258,0.863,32.959,-55.908,-114.746
