aX,aY,aZ,gX,gY,gZ
1.220,0.481,-0.309,31.372,3.662,1.648
1.204,0.232,-0.303,21.240,4.700,3.235
1.196,0.045,-0.272,4.333,5.066,6.348
1.161,-0.056,-0.243,-14.465,2.258,10.742
1.099,-0.105,-0.215,-29.724,-1.648,14.893
1.046,-0.108,-0.194,-38.818,-3.784,17.273
1.024,-0.058,-0.175,-41.138,-3.906,17.029
1.040,0.017,-0.161,-37.048,-2.686,14.221
1.085,0.094,-0.139,-29.907,-1.953,9.033
1.130,0.171,-0.122,-22.949,-2.930,3.235
1.141,0.246,-0.110,-17.883,-6.287,-1.465
1.111,0.320,-0.111,-15.076,-11.230,-4.639
1.050,0.371,-0.125,-13.306,-16.724,-5.920
0.971,0.376,-0.152,-11.902,-21.973,-5.493
0.890,0.360,-0.186,-11.536,-25.146,-3.845
0.820,0.345,-0.215,-11.414,-25.879,-1.099
0.772,0.333,-0.235,-11.841,-24.292,3.723
0.748,0.320,-0.248,-13.062,-21.362,9.766
0.734,0.314,-0.267,-15.442,-18.005,15.442
0.732,0.332,-0.287,-18.372,-14.648,20.203
0.739,0.360,-0.295,-20.203,-10.376,25.330
0.744,0.381,-0.292,-20.020,-6.531,30.334
0.742,0.393,-0.281,-19.531,-3.052,34.790
0.740,0.400,-0.265,-18.860,0.366,38.879
0.749,0.406,-0.248,-17.700,4.456,42.114
0.774,0.410,-0.234,-15.442,9.399,44.922
0.810,0.411,-0.220,-12.756,14.832,47.363
0.851,0.406,-0.207,-8.850,19.836,49.316
0.893,0.399,-0.196,-3.784,23.193,51.270
0.931,0.396,-0.188,0.793,24.719,52.795
0.959,0.399,-0.186,3.906,24.048,53.772
0.976,0.406,-0.194,5.676,21.301,54.077
0.979,0.407,-0.211,5.676,17.883,54.260
0.969,0.403,-0.220,4.822,14.954,53.650
0.951,0.394,-0.210,2.930,12.695,52.124
0.956,0.385,-0.195,1.831,10.986,49.561
0.939,0.375,-0.178,1.221,9.216,47.180
0.914,0.391,-0.170,0.854,6.531,45.593
0.912,0.412,-0.177,2.747,3.540,45.044
